band_level,ngram,n,count,doc_freq,doc_pct,count_per_doc,other_count_per_doc,distinctiveness_score
mid_5_5_to_6_5,global warming,2,233,151,0.037693459810284574,0.0581627558662007,0.05602524434161473,0.0021375115245859666
mid_5_5_to_6_5,environmental problems,2,154,104,0.025961058412381426,0.038442336495257114,0.03640161931233285,0.0020407171829242635
mid_5_5_to_6_5,main reasons,2,116,106,0.026460309535696454,0.02895656515227159,0.02727768354040351,0.0016788816118680806
mid_5_5_to_6_5,well known,2,131,118,0.02945581627558662,0.0327009485771343,0.031144873551449154,0.0015560750256851455
mid_5_5_to_6_5,successful career,2,135,101,0.025212181727408887,0.033699450823764354,0.03221704111911827,0.0014824097046460816
mid_5_5_to_6_5,getting job,2,102,82,0.020469296055916127,0.0254618072890664,0.024162780839338704,0.0012990264497276943
mid_5_5_to_6_5,university college,2,161,96,0.023964053919121316,0.04018971542685971,0.03899957609156422,0.0011901393352954856
mid_5_5_to_6_5,unpaid work,2,101,63,0.015726410384423364,0.025212181727408887,0.024162780839338704,0.0010494008880701823
mid_5_5_to_6_5,negative impact,2,117,106,0.026460309535696454,0.029206190713929107,0.02819131676541889,0.0010148739485102178
mid_5_5_to_6_5,every day,2,103,91,0.02271592611083375,0.025711432850723914,0.025324088031353633,0.00038734481937028123
high_ge7,long term,2,267,223,0.06722942417847452,0.08049442267108833,0.03763758770491994,0.04285683496616839
high_ge7,fossil fuels,2,105,70,0.021103406692794695,0.03165511003919204,0.0,0.03165511003919204
high_ge7,public health,2,102,69,0.0208019294543262,0.030750678323786553,0.0,0.030750678323786553
high_ge7,long run,2,102,99,0.029846246608381068,0.030750678323786553,0.0,0.030750678323786553
high_ge7,developed countries,2,98,80,0.02411817907747965,0.02954476936991257,0.0,0.02954476936991257
high_ge7,carbon dioxide,2,93,79,0.023816701839011155,0.028037383177570093,0.0,0.028037383177570093
high_ge7,wide range,2,90,86,0.025927042508290626,0.027132951462164608,0.0,0.027132951462164608
high_ge7,increasing number,2,90,90,0.027132951462164608,0.027132951462164608,0.0,0.027132951462164608
